id	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	ARO Category	ARO Accession	ARO Name
AB364006|ARO:3000847	BAF91108.1	AB364006	KHM beta-latamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3000847	NA
FJ262599|ARO:3002184	ACI89425.1	FJ262599	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3002184	NA
NC_005024|ARO:3002597	NP_863643.1	NC_005024	APH(2'');AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002597	NA
JX896165|ARO:3001992	AFX60298.1	JX896165	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001992	NA
X65252|ARO:3000880	CAA46344.1	X65252	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000880	NA
U82085|ARO:3000118	AAB95639.1	U82085	ATP-binding cassette (ABC) antibiotic efflux pump	streptogramin antibiotic;pleuromutilin antibiotic	antibiotic efflux	NA	ARO:3000118	NA
KP096411|ARO:3003181	AJP67510.1	KP096411	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3003181	NA
X64523.1|ARO:3000875	CAA45828.1	X64523.1	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000875	NA
U00096.3|ARO:3002986	AAC75291.1	U00096.3	triclosan resistant gyrA	triclosan	antibiotic target alteration	NA	ARO:3002986	NA
AF031326|ARO:3002561	AAD03490.1	AF031326	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002561	NA
AY077482|ARO:3002391	AAL78275.1	AY077482	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002391	NA
DQ195535|ARO:3000866	ABA42118.2	DQ195535	ole glycosyltransferase	macrolide antibiotic	antibiotic inactivation	NA	ARO:3000866	NA
AY156923|ARO:3001889	AAO61597.1	AY156923	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001889	NA
AL009126|ARO:3003063	CAB13167.1	AL009126	small multidrug resistance (SMR) antibiotic efflux pump	aminoglycoside antibiotic;tetracycline antibiotic;phenicol antibiotic	antibiotic efflux	NA	ARO:3003063	NA
X55640|ARO:3001064	CAA39164.1	X55640	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001064	NA
AY494718|ARO:3002335	AAR97271.1	AY494718	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002335	NA
AB699171|ARO:3002100	BAL63057.1	AB699171	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002100	NA
AF313472|ARO:3002639	ABK33456.1	AF313472	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002639	NA
AJ584700|ARO:3002589	CAE50925.1	AJ584700	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002589	NA
DQ485530|ARO:3002791	ABF47470.1	DQ485530	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002791	NA
KF986255|ARO:3001560	AHL30274.1	KF986255	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001560	NA
AJ318094|ARO:3000961	CAC85661.1	AJ318094	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000961	NA
HQ734812|ARO:3001666	ADX07746.1	HQ734812	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001666	NA
DQ408762|ARO:3001920	ABD73290.1	DQ408762	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001920	NA
FJ237369|ARO:3001824	ACJ05689.1	FJ237369	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3001824	NA
AJ884726.1|ARO:3002614	CAI57696.1	AJ884726.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002614	NA
AB587082|ARO:3002069	BAJ17544.1	AB587082	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002069	NA
AY949203|ARO:3001621	AAX51234.1	AY949203	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001621	NA
GU015024|ARO:3001860	ACX71212.1	GU015024	IMI beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3001860	NA
EU269034.2|ARO:3002667	ABY64751.1	EU269034.2	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	NA	ARO:3002667	NA
EU375515|ARO:3001648	ABY77907.1	EU375515	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001648	NA
KF057029|ARO:3001683	AGU69250.1	KF057029	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001683	NA
GQ870432|ARO:3001951	ACX34099.1	GQ870432	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001951	NA
U00096|ARO:3000074	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	NA	ARO:3000074	NA
GQ149244|ARO:3001936	ACS32294.1	GQ149244	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001936	NA
AB016934|ARO:3000449	BAA32494.1	AB016934	Fom phosphotransferase family	fosfomycin	antibiotic inactivation	NA	ARO:3000449	NA
HQ342889|ARO:3002323	AEA73284.1	HQ342889	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002323	NA
JQ808129|ARO:3002666	AFJ11385.1	JQ808129	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	NA	ARO:3002666	NA
NC_010611|ARO:3001415	YP_001844885.1	NC_010611	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001415	NA
AB083212|ARO:3000859	BAC20579.1	AB083212	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	NA	ARO:3000859	NA
AY847148|ARO:3001933	AAV97957.1	AY847148	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001933	NA
AB379831|ARO:3002735	BAG55487.1	AB379831	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002735	NA
AY524988|ARO:3002279	AAS13760.1	AY524988	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002279	NA
KJ173478|ARO:3001573	AHK51384.1	KJ173478	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001573	NA
KM555152|ARO:3003193	AJA36815.1	KM555152	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3003193	NA
HM488986|ARO:3001465	ADK35869.1	HM488986	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001465	NA
AF452105|ARO:3002478	AAL50725.1	AF452105	LEN beta-lactamase	penam;penem	antibiotic inactivation	NA	ARO:3002478	NA
EF650035|ARO:3001640	ABV31689.1	EF650035	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001640	NA
AF300454|ARO:3002273	AAG27703.1	AF300454	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002273	NA
JQ711185|ARO:3002080	AFK08541.1	JQ711185	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002080	NA
HE819401|ARO:3001819	CCK86740.1	HE819401	ACC beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001819	NA
EU729727|ARO:3002317	ACE62798.1	EU729727	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002317	NA
JF966749|ARO:3001976	AEI70324.1	JF966749	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001976	NA
AF427128|ARO:3000949	AAL29434.1	AF427128	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000949	NA
AY077485|ARO:3002401	AAL78278.2	AY077485	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002401	NA
EF016356.1|ARO:3001615	ABK34774.1	EF016356.1	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001615	NA
KJ135346|ARO:3001575	AHL30287.1	KJ135346	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001575	NA
EU250284|ARO:3002968	ABX54688.1	EU250284	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002968	NA
DQ836009.1|ARO:3002879	ABG65740.1	DQ836009.1	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	NA	ARO:3002879	NA
HQ425494|ARO:3001481	AEB98922.1	HQ425494	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001481	NA
KM087859|ARO:3002176	AIT76112.1	KM087859	MIR beta-lactamase	monobactam;cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002176	NA
AJ635425|ARO:3002457	CAG25836.1	AJ635425	LEN beta-lactamase	penam;penem	antibiotic inactivation	NA	ARO:3002457	NA
Y16785|ARO:3002023	CAA76382.1	Y16785	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002023	NA
AY524276|ARO:3002494	AAS07017.3	AY524276	SRT beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3002494	NA
X55652|ARO:3002536	CAA39184.1	X55652	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002536	NA
KF147862|ARO:3000559	AGV28567.1	KF147862	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;carbapenem;cephalosporin;tetracycline antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;penem	antibiotic efflux	NA	ARO:3000559	NA
EF534256|ARO:3001705	ABP87779.2	EF534256	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001705	NA
EU019535|ARO:3001634	ABV71247.1	EU019535	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001634	NA
KP050490|ARO:3002141	AJO16043.1	KP050490	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002141	NA
JF274243|ARO:3001971	AEM44649.1	JF274243	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001971	NA
AM850914|ARO:3002471	CAP12352.2	AM850914	LEN beta-lactamase	penam;penem	antibiotic inactivation	NA	ARO:3002471	NA
AF188199|ARO:3000936	AAF01046.1	AF188199	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000936	NA
KM087858|ARO:3002175	AIT76111.1	KM087858	MIR beta-lactamase	monobactam;cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002175	NA
JQ348841|ARO:3002355	AFB82585.1	JQ348841	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002355	NA
AJ277415|ARO:3000953	CAC43230.1	AJ277415	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000953	NA
AJ584701|ARO:3002590	CAE50926.1	AJ584701	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002590	NA
EU188842|ARO:3001609	ABX38721.1	EU188842	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001609	NA
GQ390809|ARO:3001174	ACV32637.1	GQ390809	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001174	NA
AF472622|ARO:3003003	AAL79549.2	AF472622	CfxA beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3003003	NA
AB926431|ARO:3002362	BAO79439.1	AB926431	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3002362	NA
KF986260|ARO:3001565	AHL30279.1	KF986260	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001565	NA
AF155139|ARO:3002958	AAF36806.1	AF155139	vanZ;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002958	NA
HE819402|ARO:3001835	CCK86741.1	HE819402	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3001835	NA
DQ211987|ARO:3001913	ABA62022.1	DQ211987	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001913	NA
KF711993|ARO:3001807	AHC31001.1	KF711993	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001807	NA
AP009048.1|ARO:3000795	BAE77781.1	AP009048.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;penam	antibiotic efflux	NA	ARO:3000795	NA
KM087835|ARO:3001852	AIT76088.1	KM087835	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3001852	NA
KF526118|ARO:3001842	AHA80106.1	KF526118	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3001842	NA
AY033516|ARO:3001880	AAK71471.1	AY033516	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001880	NA
M97297|ARO:3002931	AAA65959.1	M97297	vanZ;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002931	NA
AM051144|ARO:3002423	CAJ19603.1	AM051144	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002423	NA
AB894482|ARO:3003199	BAO21229.1	AB894482	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3003199	NA
KC351754|ARO:3001995	AGG08693.1	KC351754	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001995	NA
AB119105|ARO:3002572	BAD12078.1	AB119105	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002572	NA
EU408352.1|ARO:3002484	ACH58991.1	EU408352.1	class C LRA beta-lactamase;class D LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002484	NA
FN812951|ARO:3002869	CBL80435.1	FN812951	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	NA	ARO:3002869	NA
GQ202694|ARO:3002387	ACT09140.1	GQ202694	BEL beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002387	NA
HM046998|ARO:3002058	ADH82410.1	HM046998	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002058	NA
KC865667|ARO:3001385	AGL39384.1	KC865667	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001385	NA
KC895984|ARO:3002631	AGW81558.1	KC895984	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002631	NA
AF293345|ARO:3001085	AAG01039.1	AF293345	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001085	NA
AF155139|ARO:3002936	AAF36806.1	AF155139	vanZ;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002936	NA
A15097|ARO:3000363	CAA01212.1	A15097	macrolide esterase	macrolide antibiotic	antibiotic inactivation	NA	ARO:3000363	NA
NC_007779|ARO:3000263	YP_489794.1	NC_007779	resistance-nodulation-cell division (RND) antibiotic efflux pump;General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan;penem	antibiotic efflux;reduced permeability to antibiotic	NA	ARO:3000263	NA
X53527|ARO:3002638	CAA37605.1	X53527	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002638	NA
FJ349556|ARO:3002911	ACL82959.1	FJ349556	vanY;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002911	NA
EF394370|ARO:3002045	ABN51006.1	EF394370	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002045	NA
AF301532|ARO:3001087	AAG49894.1	AF301532	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001087	NA
AY306130|ARO:3001796	AAQ76277.1	AY306130	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001796	NA
KJ207207|ARO:3001844	AHL39336.1	KJ207207	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3001844	NA
AY267213|ARO:3001891	AAP22736.1	AY267213	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001891	NA
AM183304|ARO:3001017	CAJ66089.1	AM183304	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001017	NA
JQ002629|ARO:3002223	AFR33816.1	JQ002629	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002223	NA
JX121127|ARO:3001199	AFQ23966.1	JX121127	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001199	NA
EF452177|ARO:3002838	ABR14060.1	EF452177	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	NA	ARO:3002838	NA
DQ102702|ARO:3001905	AAZ14955.1	DQ102702	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001905	NA
AF371964|ARO:3001768	AAK55330.1	AF371964	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001768	NA
NC_003112|ARO:3000811	NP_274718.1	NC_003112	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;penam	antibiotic efflux	NA	ARO:3000811	NA
AF031332|ARO:3002568	AAD03496.1	AF031332	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002568	NA
HM439650|ARO:3002745	ADM52194.1	HM439650	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002745	NA
L11616|ARO:3000378	AAA74437.1	L11616	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;peptide antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;sulfonamide antibiotic;phenicol antibiotic;penem	antibiotic efflux	NA	ARO:3000378	NA
AF090987|ARO:3000561	AAD09860.1	AF090987	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	NA	ARO:3000561	NA
AY825285|ARO:3000565	AAV80464.1	AY825285	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	NA	ARO:3000565	NA
NC_020418|ARO:3000165	YP_007503840.1	NC_020418	major facilitator superfamily (MFS) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux	NA	ARO:3000165	NA
AF121000|ARO:3000183	AAD25063.1	AF121000	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	NA	ARO:3000183	NA
AM941844|ARO:3001336	CAQ03503.1	AM941844	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001336	NA
KJ020574|ARO:3002006	AHX39589.1	KJ020574	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3002006	NA
AY288915|ARO:3001107	AAP41108.1	AY288915	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001107	NA
AY598759|ARO:3001873	AAT68658.1	AY598759	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001873	NA
KP128034|ARO:3003168	AJU57235.1	KP128034	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3003168	NA
FJ360884|ARO:3001033	ACJ04051.1	FJ360884	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001033	NA
AY227052|ARO:3003102	AAP69914.1	AY227052	CphA beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3003102	NA
AF001493|ARO:3002846	AAC05822.1	AF001493	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation	NA	ARO:3002846	NA
AF190694|ARO:3000942	AAF05613.1	AF190694	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000942	NA
KJ510410|ARO:3001396	AIA58911.1	KJ510410	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001396	NA
JX121122|ARO:3001194	AFQ23961.1	JX121122	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001194	NA
FJ807656|ARO:3001020	ACO07310.1	FJ807656	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001020	NA
AJ400619|ARO:3001424	CAC35728.1	AJ400619	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001424	NA
U50278|ARO:3001858	AAA93461.1	U50278	IMI beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3001858	NA
AM778091|ARO:3002288	CAO83029.1	AM778091	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002288	NA
JX258134|ARO:3002303	AFP99175.1	JX258134	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002303	NA
FJ237368|ARO:3001830	ACJ05688.1	FJ237368	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3001830	NA
AF173226|ARO:3003052	AAD51347.1	AF173226	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux	NA	ARO:3003052	NA
AF516720|ARO:3000968	AAM61953.1	AF516720	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000968	NA
AY237830|ARO:3001781	AAP69225.1	AY237830	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001781	NA
JN416112|ARO:3001050	AEL88240.1	JN416112	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001050	NA
KJ510410|ARO:3002236	AIA58911.1	KJ510410	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002236	NA
AJ635417|ARO:3002461	CAG25828.1	AJ635417	LEN beta-lactamase	penam;penem	antibiotic inactivation	NA	ARO:3002461	NA
EU220744|ARO:3001441	ABW95047.1	EU220744	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001441	NA
KP050494|ARO:3003156	AJO16047.1	KP050494	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3003156	NA
AY259119|ARO:3001102	AAP82228.1	AY259119	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001102	NA
BR000038|ARO:3003021	FAA00064.1	BR000038	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	NA	ARO:3003021	NA
GQ853680|ARO:3001454	ACX31141.1	GQ853680	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001454	NA
AF468003|ARO:3000974	AAL77062.1	AF468003	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000974	NA
GG749185.1|ARO:3000309	EFF04178.1	GG749185.1	major facilitator superfamily (MFS) antibiotic efflux pump	N/A	antibiotic efflux	NA	ARO:3000309	NA
L32599|ARO:3003006	AAC36944.1	L32599	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;acridine dye	antibiotic efflux	NA	ARO:3003006	NA
NC_023287|ARO:3000615	YP_008997285.1	NC_023287	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	NA	ARO:3000615	NA
L29510|ARO:3002558	AAA87229.1	L29510	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002558	NA
HQ734811|ARO:3001665	ADX07745.1	HQ734811	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001665	NA
AB908992|ARO:3003210	BAP18892.1	AB908992	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation	NA	ARO:3003210	NA
JX893517|ARO:3001791	AGC70814.1	JX893517	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001791	NA
M97297|ARO:3000010	AAA65959.1	M97297	vanZ;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3000010	NA
AY033653|ARO:3002200	AAK59385.1	AY033653	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002200	NA
JF802084|ARO:3002975	AEP40501.1	JF802084	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002975	NA
JQ926986|ARO:3001345	AFK93491.1	JQ926986	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001345	NA
U20270|ARO:3001066	AAA87176.1	U20270	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001066	NA
HF947514|ARO:3001504	CCW28916.1	HF947514	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001504	NA
DQ831141|ARO:3002707	ABI50486.1	DQ831141	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002707	NA
AJ011291|ARO:3002018	CAB36900.1	AJ011291	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002018	NA
KJ207203|ARO:3002095	AHL39324.1	KJ207203	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002095	NA
AY509111|ARO:3002894	AAR96051.1	AY509111	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	NA	ARO:3002894	NA
AJ400733.1|ARO:3002854	CAC19929.1	AJ400733.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	NA	ARO:3002854	NA
KJ415247|ARO:3002786	AHX97725.1	KJ415247	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002786	NA
AF140221|ARO:3002570	AAD52985.1	AF140221	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002570	NA
FJ349556|ARO:3002953	ACL82959.1	FJ349556	vanY;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002953	NA
M57437|ARO:3002827	AAA26832.1	M57437	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	NA	ARO:3002827	NA
